Hei!	hai<br>Hello!
Hello!	Hei!<br>hai
God morgen!	gu morn<br>Good morning!
Good morning!	God morgen!<br>gu morn
godt	godd<br>good
good	godt<br>godd
God dag (alle sammen)!	gud dag alle sammen<br>Good morning (day) everybody!<br>very formal, greeting "God dag!" not used
Good morning (day) everybody!	God dag (alle sammen)!<br>gud dag alle sammen<br>very formal, greeting "God dag!" not used
God kveld	gud kwell<br>Good evening<br>formal
Good evening	God kveld<br>gud kwell<br>formal
en kveld	en kwell<br>an evening
an evening	en kveld<br>en kwell
sein/sen	sen<br>late
late	sein/sen<br>sen
hvordan går det?	wodan gor de?<br>How's it going?
How's it going?	hvordan går det?<br>wodan gor de?
å gå	oa goa<br>to go/walk
to go/walk	å gå<br>oa goa
bare fint	just fine
just fine	bare fint
ikke så verst	igge so wäst<br>not bad
not bad	ikke så verst<br>igge so wäst
(sånu) passe	sonu passe<br>so, so; ok
so, so; ok	(sånu) passe<br>sonu passe
Hvordan har du det?	wodan har dü de?<br>How do you have it? (How are you)
How do you have it? (How are you)	Hvordan har du det?<br>wodan har dü de?
Ha det!	ha de<br>bye, bye
bye, bye	Ha det!<br>ha de
Vi ses!	wi ses<br>See you!<br>
See you!<br>	Vi ses!<br>wi ses
Vi snakkes (i morgen)!	We'll talk (again) tomorrow!
We'll talk (again) tomorrow!	Vi snakkes (i morgen)!
morna	moana<br>See you (only used in oslo)
See you (only used in oslo)	morna<br>moana
en lærer	en läirer<br>a teacher
a teacher	en lærer<br>en läirer
en bil	a car
a car	en bil
en kvinne	a woman
a woman	en kvinne
en ung(dom)	a young(ster)
a young(ster)	en ung(dom)
en pose	a bag
a bag	en pose
ei avis	a newspaper
a newspaper	ei avis
ei norsk krone	a norwegian crown
a norwegian crown	ei norsk krone
et ord	et uur<br>a word
a word	et ord<br>et uur
et hus	a house
a house	et hus
et språk	a language
a language	et språk
et eple	an apple
an apple	et eple
et problem	a problem
a problem	et problem
en kvittering	a receipt
a receipt	en kvittering
Hvenn?	wenn<br>Who?
Who?	Hvenn?<br>wenn
toget	the train
the train	toget
unnskyld	ünschüll<br>excuse me; i'm sorry for
excuse me; i'm sorry for	unnskyld<br>ünschüll
Det er ok/greit.	de är uukaa/grait.<br>It's ok.
It's ok.	Det er ok/greit.<br>de är uukaa/grait.
Ikke noe problem.	igge nooä prubleäm<br>No problem.
No problem.	Ikke noe problem.<br>igge nooä prubleäm
Det gjør ingenting.	Never mind (it doesn't do anything).
Never mind (it doesn't do anything).	Det gjør ingenting.
seinere/senere	säänere<br>later
later	seinere/senere<br>säänere
det bord/bordet	the table
the table	det bord/bordet
stolen	the chair
the chair	stolen
en kilometer	chilometer<br>a kilometer
a kilometer	en kilometer<br>chilometer
God tur!	Gu tür<br>Have a nice trip!
Have a nice trip!	God tur!<br>Gu tür
Hvor mye har du?	wor müe har dü?<br>How much do you have?
How much do you have?	Hvor mye har du?<br>wor müe har dü?
Lykke til!	Good luck!
Good luck!	Lykke til!
Jeg får alltid 1.	jei for allti eän.<br>I'm allways rolling one.
I'm allways rolling one.	Jeg får alltid 1.<br>jei for allti eän.
fjorten	fjurtn<br>fourteen
fourteen	fjorten<br>fjurtn
Hvordan uttaler du "14"?	How do you pronounce "14"?
How do you pronounce "14"?	Hvordan uttaler du "14"?
Hva heter 17 på norsk?	How do you say 17 in norwegian?
How do you say 17 in norwegian?	Hva heter 17 på norsk?
Hva betyr "seinere" på engelsk?	What does "seinere" mean in English?
What does "seinere" mean in English?	Hva betyr "seinere" på engelsk?
å forstå	oa foschtoh<br>to understand
to understand	å forstå<br>oa foschtoh
Kan du gjenta?	kan dü jenta?<br>Could you repeat?
Could you repeat?	Kan du gjenta?<br>kan dü jenta?
å leke med (ball, biler, dokker)	to play with (ball, cars, dolls)<br>without fixed/given rules
