mandag	monday
monday	mandag
fredag	friday
friday	fredag
lørdag	saturday
saturday	lørdag
søndag	sunday
sunday	søndag
en forsker	a researcher<br>forskeren, mange forskere, alle forskerne
a researcher	en forsker<br>forskeren, mange forskere, alle forskerne
en tysker	a German<br>tyskeren, to tyskere, alle tyskerne
a German	en tysker<br>tyskeren, to tyskere, alle tyskerne
en spanjol	en spanjul<br>a Spanish
a Spanish	en spanjol<br>en spanjul
en nøkkel	a key<br>nøkkelen, mange nøkler, alle nøklene
a key	en nøkkel<br>nøkkelen, mange nøkler, alle nøklene
en sykkel	a bike<br>sykkelen, tre sykler, alle syklene
a bike	en sykkel<br>sykkelen, tre sykler, alle syklene
en nordmann	a Norwegian<br>nordmannen, mange nordmenn, alle nordmennene
a Norwegian	en nordmann<br>nordmannen, mange nordmenn, alle nordmennene
Jeg leder.	I'm in lead.
I'm in lead.	Jeg leder.
Jeg taper alltid.	I always lose.
I always lose.	Jeg taper alltid.
Du vinner alltid.	You always win.
You always win.	Du vinner alltid.
Du jukser!	You're cheating!
You're cheating!	Du jukser!
seksti	sixty
sixty	seksti
seksten	seisten<br>sixteen
sixteen	seksten<br>seisten
en genser	a sweater<br>genseren, 
a sweater	en genser<br>genseren, 
Hva koster den?	What does it cost?
What does it cost?	Hva koster den?
Genseren koster 249 kroner.	The sweater costs 249 crowns.
The sweater costs 249 crowns.	Genseren koster 249 kroner.
Hvor mye koster den?	How much does it cost?
How much does it cost?	Hvor mye koster den?
Hva koster den billetten?	How much does the ticket cost?
How much does the ticket cost?	Hva koster den billetten?
to hundre førtini femti (NOK)	249,50 (NOK)<br>could also say to hundre førtini og femti øre, but this is outfashioned
249,50 (NOK)	to hundre førtini femti (NOK)<br>could also say to hundre førtini og femti øre, but this is outfashioned
en student	a student
a student	en student
studenten	the student
the student	studenten
tre studenter	three students
three students	tre studenter
alle studentene	all students
all students	alle studentene
en turist	a tourist<br>turisten, turister, turistene
a tourist	en turist<br>turisten, turister, turistene
turisten	the tourist
the tourist	turisten
tre turister	three tourists
three tourists	tre turister
alle turistene	all tourists
all tourists	alle turistene
en by	en bi<br>a city<br>byen, byer, byene
a city	en by<br>en bi<br>byen, byer, byene
byen	the city
the city	byen
tre byer	three cities
three cities	tre byer
alle byene	all cities
all cities	alle byene
et frimerke	a stamp
a stamp	et frimerke
frimerket	the stamp
the stamp	frimerket
tre frimerker	three stamps
three stamps	tre frimerker
alle frimerkene	all stamps
all stamps	alle frimerkene
avisa	the newspaper
the newspaper	avisa
fire aviser	four newspapers
four newspapers	fire aviser
alle avisene	all newspapers
all newspapers	alle avisene
to tog	two trains
two trains	to tog
alle togene	all trains
all trains	alle togene
kartet	the map
the map	kartet
åtte kart	eight maps
eight maps	åtte kart
alle kartene	all maps
all maps	alle kartene
en dag	a day<br>dagen, dager, dagene
a day	en dag<br>dagen, dager, dagene
dagen	the day
the day	dagen
fem dager	five days
five days	fem dager
alle dagene	all days
all days	alle dagene
en bensinstasjon	a petrol station
a petrol station	en bensinstasjon
bensinstasjonen	the petrol station
the petrol station	bensinstasjonen
seks bensinstasjoner	six petrol stations
six petrol stations	seks bensinstasjoner
alle bensinstasjonene	all petrol stations
all petrol stations	alle bensinstasjonene
Det er mandag i dag.	It's monday today.
It's monday today.	Det er mandag i dag.
Det er tirsdag i morgen.	It's Tuesday tomorrow
It's Tuesday tomorrow	Det er tirsdag i morgen.
Hvilken (masculine)	Which/what (masculine)
Which/what (masculine)	Hvilken (masculine)
Hvilken dag er det i dag?	Which day is it today?
Which day is it today?	Hvilken dag er det i dag?
Hvilken (feminine)	What/which (feminine)
What/which (feminine)	Hvilken (feminine)
Hvilken avis leser du?	Which paper do you read?
Which paper do you read?	Hvilken avis leser du?
Hvilket (neuter)	Which/what (neutral)
Which/what (neutral)	Hvilket (neuter)
Hvilket tog skal du ta?	Which train are you going to take?
Which train are you going to take?	Hvilket tog skal du ta?
Hvilket språk snakker du?	Which language do you speak?
Which language do you speak?	Hvilket språk snakker du?
koreansk	Corean
Corean	koreansk
Hvilke aviser leser du?	Which newspapers are you reading?
Which newspapers are you reading?	Hvilke aviser leser du?
Hvilke (plural)	Which/what (plural)
Which/what (plural)	Hvilke (plural)
Hvilke språk snakker du?	Which languages do you speak?
Which languages do you speak?	Hvilke språk snakker du?
Hva slags (språk)?	wa schlags<br>What kind of (languages)?
What kind of (languages)?	Hva slags (språk)?<br>wa schlags
en tirsdag	tischdag<br>a Tuesday
a Tuesday	en tirsdag<br>tischdag
torsdag	toschdag<br>thursday
thursday	torsdag<br>toschdag
en onsdag	unsdag<br>a wednesday
a wednesday	en onsdag<br>unsdag
en formiddag	a morning (9-12), vormittag
a morning (9-12), vormittag	en formiddag
midt på dagen	noon/mid-day
noon/mid-day	midt på dagen
ei natt	ai nat<br>a night
a night	ei natt<br>ai nat
et døgn	et deyn<br>24 hours
24 hours	et døgn<br>et deyn
ei uke	ai üüke<br>a week
a week	ei uke<br>ai üüke
ei helg	ai helg<br>a weekend
a weekend	ei helg<br>ai helg
en måned	a month
a month	en måned
et år	a year
a year	et år
Hva er klokka? Hvor mye er klokka? Hvor mange er klokka?	What's the time?
What's the time?	Hva er klokka? Hvor mye er klokka? Hvor mange er klokka?
en minutt	one minute
one minute	en minutt
Jeg har en time (på lege).	I have an appointment (with the doctor).
I have an appointment (with the doctor).	Jeg har en time (på lege).
Jeg har en time nå.	I have a class now.
I have a class now.	Jeg har en time nå.
kvart over ett	a quarter past one
a quarter past one	kvart over ett
halv to	hal tu<br>half past one
half past one	halv to<br>hal tu
kvart på to	a quarter to two
a quarter to two	kvart på to
Klokka er to.	It's two o'clock.
It's two o'clock.	Klokka er to.
ti over halv sju	ti over hal schü<br>18.40
18.40	ti over halv sju<br>ti over hal schü
en side	a page (page number)
a page (page number)	en side
Når kommer Peter?	When does Peter come?
When does Peter come?	Når kommer Peter?
Når?	When?
When?	Når?
Hun kommer klokka halv ni.	She's coming at 8.30.
She's coming at 8.30.	Hun kommer klokka halv ni.
Bussen kommer (klokka) halv ni.	The bus is coming half past eight.<br>klokka is optional
The bus is coming half past eight.	Bussen kommer (klokka) halv ni.<br>klokka is optional
Bussen går.	The bus leaves.
The bus leaves.	Bussen går.
Bussen kjører	bussen chjöre<br>The bus drives
The bus drives	Bussen kjører<br>bussen chjöre
Vi skal (dra) til City Syd halv åtte.	We shall go to City Syd half past seven.<br>dra is optional, verbs of movement can be omitted after skal
We shall go to City Syd half past seven.	Vi skal (dra) til City Syd halv åtte.<br>dra is optional, verbs of movement can be omitted after skal
Hun må (gå) hjem.	She must go home.<br>gå is optional, verb of movement
She must go home.	Hun må (gå) hjem.<br>gå is optional, verb of movement
en venn	a friend
a friend	en venn
Jeg skal snakke med venner.	I'm going to speak with some friends.
I'm going to speak with some friends.	Jeg skal snakke med venner.
å lage mat	to cook
to cook	å lage mat
å gå på tur	to go hiking
to go hiking	å gå på tur
å gå en tur	to go for a walk
to go for a walk	å gå en tur
Først skal jeg lage mat. Så skal jeg trene i kveld.	First I'll cook, then I'm going to workout in the evening.
First I'll cook, then I'm going to workout in the evening.	Først skal jeg lage mat. Så skal jeg trene i kveld.
en film	a movie
a movie	en film
en brun stol	a brown chair
a brown chair	en brun stol
et brunt bord	a brown table
a brown table	et brunt bord
to brune stoler	two brown chairs
two brown chairs	to brune stoler
Jeg har ei brun veske.	I have a brown handbag.
I have a brown handbag.	Jeg har ei brun veske.
Jeg har to gule bord.	I have two yellow tables.
I have two yellow tables.	Jeg har to gule bord.
Stolen er brun.	The chair is brown.
The chair is brown.	Stolen er brun.
Bordet er brunt.	The table is brown.
The table is brown.	Bordet er brunt.
Bordene/Stolene er gule	The tables/chairs are yellow.
The tables/chairs are yellow.	Bordene/Stolene er gule
jeg blir tjuetre i mai	I'll turn twentythree in may
I'll turn twentythree in may	jeg blir tjuetre i mai
natta	the night
the night	natta
mange netter	some nights
some nights	mange netter
alle nettene	all nights
all nights	alle nettene
timen	the hour
the hour	timen
tre timer	three hours
three hours	tre timer
alle timene	all hours
all hours	alle timene
en buss	a bus
a bus	en buss
en bussjåfør	a busdriver
a busdriver	en bussjåfør
en studentby	a student village
a student village	en studentby
en koffert	a suitcase
a suitcase	en koffert
et kort	a card (e.g. credit card)
a card (e.g. credit card)	et kort
to kort	two cards
two cards	to kort
ei adresse	an address
an address	ei adresse
adressa	the address
the address	adressa
to adresser	two addresses
two addresses	to adresser
alle adressene	all addresses
all addresses	alle adressene
at	that
that	at
bagasje	luggage<br>uncountable noun
luggage	bagasje<br>uncountable noun
å betale	to pay<br>betaler, betalte, har betalt
to pay	å betale<br>betaler, betalte, har betalt
å bety	to mean<br>betyr, betydde, har betydd
to mean	å bety<br>betyr, betydde, har betydd
en billett	a ticket
a ticket	en billett
billetten	the ticket
the ticket	billetten
mange billetter	some tickets
some tickets	mange billetter
alle billettene	all tickets
all tickets	alle billettene
å bruke	to use<br>bruker, brukte, har brukt
to use	å bruke<br>bruker, brukte, har brukt
ei bussrute	ai büssrüte<br>a bus route
a bus route	ei bussrute<br>ai büssrüte
en busstur	a bus trip
a bus trip	en busstur
å bytte	to change, exchange
to change, exchange	å bytte
dem	them
them	dem
å dra	to leave, to go (travel, move)<br>drar, dro, har dratt
to leave, to go (travel, move)	å dra<br>drar, dro, har dratt
å drikke	to drink<br>drikker, drakk, har drukket
to drink	å drikke<br>drikker, drakk, har drukket
endelig	finally
finally	endelig
ett	one
one	ett
