hankjønn	masculine
masculine	hankjønn
hunkjønn	feminine
feminine	hunkjønn
intetkjønn	neutral
neutral	intetkjønn
flertall	plural
plural	flertall
hvorfor	why (wherefore)
why (wherefore)	hvorfor
alder	age
age	alder
svar	answer
answer	svar
korrekt/riktig	rigti<br>correct
correct	korrekt/riktig<br>rigti
dato	date
date	dato
syttende mai (17.05.)	söttene mai<br>national day (seventeenth of mai)
national day (seventeenth of mai)	syttende mai (17.05.)<br>söttene mai
tjuesjuende au	chüschüende äü<br>27. 08.
27. 08.	tjuesjuende au<br>chüschüende äü
å ligger	to lie
to lie	å ligger
å ligge	to lie / to stand, lie<br>ligger, lå, har ligget
to lie / to stand, lie	å ligge<br>ligger, lå, har ligget
fæle	ugly, awful
ugly, awful	fæle
Jeg tenker deg.	I'm thinking of you/I think about you.
I'm thinking of you/I think about you.	Jeg tenker deg.
inn	in, inside, into, movement (herein)
in, inside, into, movement (herein)	inn
Det er inne.	It's inside (static, in, inside)
It's inside (static, in, inside)	Det er inne.
opp	up (dynamic)
up (dynamic)	opp
oppe	up (static)
up (static)	oppe
uppe	up (dynamic)
up (dynamic)	uppe
ned	down (dynamic)
down (dynamic)	ned
nede	down (static)
down (static)	nede
hjem	home(wards), (dynamic)
home(wards), (dynamic)	hjem
høyre	right (side)
right (side)	høyre
venstre	left (side)
left (side)	venstre
m.e.h	a.s.l (above sea level)
a.s.l (above sea level)	m.e.h
aldri	never
never	aldri
alt (all)	all, everything
all, everything	alt (all)
andre	second, other
second, other	andre
et bad	a bath<br>badet, bad, badene
a bath	et bad<br>badet, bad, badene
å barbere seg	to shave<br>barberer seg, barberte seg, har barbert seg
to shave	å barbere seg<br>barberer seg, barberte seg, har barbert seg
ei bokhylle	a book shelf<br>bokhylla, bokhyller, bokhyllene
a book shelf	ei bokhylle<br>bokhylla, bokhyller, bokhyllene
en bror	bruur<br>a brother<br>broren, brødre, brødrene
a brother	en bror<br>bruur<br>broren, brødre, brødrene
brun	brown<br>brunt, brune
brown	brun<br>brunt, brune
et brød	a bread, a loaf of bread<br>brødet, brød, brødene
a bread, a loaf of bread	et brød<br>brødet, brød, brødene
en bygning	a building<br>bygningen, bygninger, bygningene
a building	en bygning<br>bygningen, bygninger, bygningene
å bære	to carry<br>bærer, bar, har båret
to carry	å bære<br>bærer, bar, har båret
da	then
then	da
å dele	to share<br>deler, delte, har delt
to share	å dele<br>deler, delte, har delt
dessverre	unfortunately
unfortunately	dessverre
en dusj	a shower<br>dusjen, dusjer, dusjene
a shower	en dusj<br>dusjen, dusjer, dusjene
ei dør	a door<br>døra, dører, dørene
a door	ei dør<br>døra, dører, dørene
ennå	yet, still
yet, still	ennå
en etasje	a storey, floor<br>etasjen, etasjer, etasjene
a storey, floor	en etasje<br>etasjen, etasjer, etasjene
et etternavn	a surname<br>etternavnet, etternavn, etternavnene
a surname	et etternavn<br>etternavnet, etternavn, etternavnene
en far	a father<br>faren, to fedre, alle fedrene
a father	en far<br>faren, to fedre, alle fedrene
fin	fine<br>fint, fine
fine	fin<br>fint, fine
en frokost	a breakfast<br>frokosten, frokoster, frokostene
a breakfast	en frokost<br>frokosten, frokoster, frokostene
å fylle ut	to fill in<br>fyller ut, fylte ut, har fylt ut
to fill in	å fylle ut<br>fyller ut, fylte ut, har fylt ut
fæl	awful<br>fælt, fæle
awful	fæl<br>fælt, fæle
en fødselsdato	a date of birth<br>fødselsdatoen, fødselsdatoer, fødselsdatoene
a date of birth	en fødselsdato<br>fødselsdatoen, fødselsdatoer, fødselsdatoene
første	first
first	første
et/en gardin	a curtain<br>gardinet/gardinen, gardiner, gardinene
a curtain	et/en gardin<br>gardinet/gardinen, gardiner, gardinene
en gitar	a guitar<br>gitaren, gitarer, gitarene
a guitar	en gitar<br>gitaren, gitarer, gitarene
gjennom	through
through	gjennom
en gjest	jest<br>a guest<br>gjesten, gjester, gjestene
a guest	en gjest<br>jest<br>gjesten, gjester, gjestene
å glede seg	to look forward to<br>gleder seg, gledet seg, har gledet seg
to look forward to	å glede seg<br>gleder seg, gledet seg, har gledet seg
greit	all right
all right	greit
å ha lyst på	to want<br>har lyst på, hadde lyst på, har hatt lyst på
to want	å ha lyst på<br>har lyst på, hadde lyst på, har hatt lyst på
