oransje	orange
orange	oransje
gul	yellow
yellow	gul
grønn	green
green	grønn
fiolett	violet
violet	fiolett
grå	grey<br>grått, gråe
grey	grå<br>grått, gråe
rosa	pink
pink	rosa
turkis	turquoise
turquoise	turkis
lilla	purple
purple	lilla
hvit	vii, vitt, viite<br>white<br>hvitt, hvite
white	hvit<br>vii, vitt, viite<br>hvitt, hvite
svart	black<br>svart, svarte
black	svart<br>svart, svarte
rød	rö, röt, röe<br>red<br>rødt, røde
red	rød<br>rö, röt, röe<br>rødt, røde
blå	blue<br>blått, blå(e)
blue	blå<br>blått, blå(e)
Jeg har to store skrivebord.	I have two big desks.<br>stor is adapted (=> plural), bord doesn't get an ending (=> single syllable)
I have two big desks.	Jeg har to store skrivebord.<br>stor is adapted (=> plural), bord doesn't get an ending (=> single syllable)
brun	brown<br>brunt, brune
brown	brun<br>brunt, brune
