ei seng	a bed
a bed	ei seng
et bord	e bur<br>a table
a table	et bord<br>e bur
en stol	a chair
a chair	en stol
et skap	a closet/cupboard
a closet/cupboard	et skap
et skrivebord	a desk
a desk	et skrivebord
en vask	a sink<br>vasken, vasker, vaskene
a sink	en vask<br>vasken, vasker, vaskene
et badekar	a bath tub
a bath tub	et badekar
en dusj	a shower<br>dusjen, dusjer, dusjene
a shower	en dusj<br>dusjen, dusjer, dusjene
ei dør	a door<br>døra, dører, dørene
a door	ei dør<br>døra, dører, dørene
et vindu	a window<br>vinduet, vinduer, vinduene
a window	et vindu<br>vinduet, vinduer, vinduene
