tredje	third
third	tredje
fjerde	fjärde<br>fourth
fourth	fjerde<br>fjärde
femte	fifth
fifth	femte
sjette	schette<br>seventh
seventh	sjette<br>schette
sjuende	schüende<br>seventh
seventh	sjuende<br>schüende
åttende	eighth
eighth	åttende
niende	ninth
ninth	niende
tiende	tenth
tenth	tiende
ellevte	eleventh
eleventh	ellevte
tolvte	toolte<br>twelvth
twelvth	tolvte<br>toolte
...de<br>trettevte<br>fjortende<br>tjuende	thirteen and following..<br>thirteenth<br>fourteenth<br>twentieth
thirteen and following..<br>thirteenth<br>fourteenth<br>twentieth	...de<br>trettevte<br>fjortende<br>tjuende
trettiende	thirtieth
thirtieth	trettiende
første	first
first	første
andre	second, other (plural)
second, other (plural)	andre
